Number	Opening_hours	Distance
3	Mo-Fr 08:00-18:00; Sa 08:00-17:00	0
3	Mo-Su 07:30-24:00	0
3	Mo-Fr 07:00-21:00; Sa 08:00-18:00; Su,PH 00:00-00:00	0
3	Mo-Sa 7:00-20:00	2
3	08:00-19:00	1
3	Mo-Fr 08:00-23:00;Sa-Su 10:00-23:00	0
3	Mo-Th 07:00-22:00;Fr 07:00-23:00;Sa 08:00-23:00;Su 08:00-21:00	0
3	10-10	3
3	Mo-Fr 15:00-22:00	0
3	Tu-Su 14:00-19:00	0
3	7:00-18:00	1
3	Tu-Su 11:00-17:00	0
3	10-24	3
3	Mo-Sa 10:00-22:00; Su 10:00-21:00	0
3	06:00-19:00	1
3	Mo-Sa 06:00-20:00; Su 08:00-19:00	0
3	Mo-Sa 09:00-23:00	0
3	17:00-22:00	1
3	Su 10:00-15:00	0
3	Mo-Fr 08:00-23:00; Sa-Su 09:00-23:00	0
3	10:00-21:30	1
3	9:00-19:00	1
3	07-24	3
3	Mo-Fr 07:00-21:00; Sa,Su 08:00-20:00	0
3	Mo-Fr 12:00-21:00	0
3	Mo-Fr 08:00-22:00; Sa-Su 10:00-20:00	0
3	08:30-02:00	1
3	Mo-Fr 07:00-19:00; Sa,Su,PH 00:00-00:00	0
3	Mo-Su 06:30-20:00	0
3	Mo-Fr 07:30-19:00; Sa,Su,PH 00:00-00:00	0
3	Mo-Fr 07:30-21:00; Sa,Su,PH 00:00-00:00	0
3	Mo-Fr 07:30-20:00; Sa,Su,PH 09:00-18:00	0
