Number	Opening_hours	Distance
3	Mo-Fr 08:00-22:00; Sa 09:00-22:00; Su 10:00-22:00	0
3	Mo-Sa 10:30-22:00; Su 12:00-22:00	0
3	Mo-Sa 11:00-22:00; Su 15:00-22:00	0
3	Mo-Su 10:00-23:00; Fr,Sa 10:00-24:00	0
3	Mo-Su 07:00-23:30	0
3	09:00-16:00	1
3	Mo-Su 09:00-05:00	0
3	Mo-Sa 11:00-22:30	0
3	Mo-Su 06:30-01:00	0
3	Mo-Sa 05:00-22:00;Su 06:00-22:00	0
3	Mo-Sa 10:00-21:00;Su 10:00-20:00	0
3	Mo-Fr 11:00-20:00; Sa 11:00-18:00	0
3	10:30-21:00	1
3	Mo-Fr 07:00-22:00;Sa 08:00-22:00;Su 09:00-21:00	0
3	Su-Th 10:00-21:00; Fr-Sa 10:00-22:00	0
3	Mo-Fr 10:00-18:00; Sa 10:00-16:00	0
3	Mo-Su 11:30-21:30	0
3	Su-Th 10:00-01:00; Fr-Sa 10:00-02:00	0
3	Tu-Su 08:00-15:00; Sa 08:00-12:00	0
3	Mo-Sa 10:00-24:00; Su 11:00-24:00	0
3	Mo-Su 00:00-04:00,05:00-24:00	0
3	Mo-Fr 09:00-17:00	0
3	Mo-Th 11:00-22:00; Fr,Sa 11:00-23:00; Su 12:00-22:00	0
3	Mo-Su 10:00-22:00; Fr,Sa 10:00-23:00	0
3	08:00-05:00	1
3	Mo-Fr 08:00-21:00	0
3	Mo-Sa 09:00-21:00; Su 09:30-20:00	0
3	10:00-23:00	1
3	Mo-Su 17:00-23:30	0
3	Mo-Su 09:00-03:00	0
3	Mo-Fr 10:00-21:00; Sa-Su 11:00-21:00	0
3	Mo-Sa 10:30-23:00; Su 11:00-22:00	0
3	Mo-Fr 07:00-23:00; Sa 08:00-22:00; Su 09:00-22:00	0
3	Mo-Fr 08:30-19:00;Sa 08:30-17:00;Jul-Aug Sa 08:30-14:00	0
3	5-11	3
3	Mo-We 10:30-03:00;Th-Sa 10:30-04:00	0
3	Mo-Fr 11:30-22:00; Sa-Su 13:00-22:00	0
3	Mo-Su 18:00-24:00	0
3	Mo-Su 17:30-22:30	0
3	Mo-Sa 10:00-22:00; Su 12:00-21:00	0
3	Tu-Su 16:00-21:00	0
3	Mo-Su 16:30-23:00	0
3	Mo-Su 17:00-22:45	0
3	Mo-Fr 07:00-18:00	0
3	Mo-Su 10:30-00:00	0
3	Su-Th 07:00-01:00; Fr-Sa 07:00-04:00	0
3	Mo-Su 17:00-00:00	0
3	08:00-04:00	1
3	Mo-Sa 09:00-22:00; Su 10:00-20:00	0
3	11:00-19:00	1
3	2015-05-31	4
3	Mo-Sa 11:00-21:00;Su 12:00-21:00	0
3	Mo-Su 10:30-24:00	0
3	Mo-Su 10:30-20:00	0
3	Mo-Fr 12:00-14:00	0
3	Su-Sa 11:00-23:00	0
3	Mo-Sa 09:00-18:00	0
3	Mo-Fr 11:00-22:00;Sa-Su 12:00-22:00	0
3	10:00-21:40	1
3	Mo-Fr 07:30-18:00	0
3	Mo-Sa 07:00-24:00; Su 09:00-24:00	0
3	Mo-Fr 06:00-23:00; Sa 08:00-23:00; Su 09:00-23:00	0
3	Mo-Su 9:00-21:00	2
3	Mo-Fr 11:30-22:00; Sa,Su 12:00-22:00	0
3	Su-Th 07:00-01:00; Fr-Sa 07:00-02:00	0
3	Su-Th 07:00-24:00; Fr-Sa 07:00-01:00	0
3	Su-Th 08:00-01:00; Fr-Sa 08:00-03:00	0
3	Su-Th 08:00-24:00; Fr-Sa 08:00-01:00	0
3	10:00-23:30	1
3	Jun 21-Aug 10	4
3	Mo-Sa 10:00-21:00; Su 10:00-19:00	0
3	Mo-Fr 06:00-20:00	0
3	10	4
3	Su-Th 10:00-00:00; Fr-Sa 10:00-01:00	0
3	Mo-Fr 10:00-23:00; Sa-Su 11:00-23:00	0
3	Mo-Sa 08:30-20:00	0
3	10-22	3
3	10-2	3
3	Mo-Sa 12:00-14:00,17:00-23:00; Su 17:00-23:00	0
3	Mo-Sa 12:00-22:00	0
3	Mo-Fr 10:00-21:00;Sa-Su 12:00-21:00	0
3	Mo-Su,PH 11:00-22:00	0
3	Mo-Fr 06:00-18:00	0
3	Mo-Sa 11:30-21:30	0
3	Su-Th 11:00-22:00, Fr-Sa 11:00-23:00	0
3	Mo-Sa 11:00-23:00; Su, PH 12:00-22:00	0
3	Mo-Sa 10:00-22:00;Su 12:00-22:00	0
3	Su-Th 10:00-22:00; Fr-Sa 10:00-22:30	0
3	Mo-Sa 16:00-22:00; Su 13:00-22:00	0
3	Mo-Su,Su 08:00-00:00,08:00-01:00; Fr,Sa 08:00-00:00,08:00-02:00	0
3	Mo-Fr 08:30-17:00	0
3	Mo-Th 10:00-21:00; Fr-Sa 10:00-22:00; Su 15:00-21:00	0
3	Mo-Fr 11:00-13:30	0
3	Mo-Fr 10:00-24:00; Sa,Su 00:00-01:00,10:00-24:00	0
3	Mo-Tu 12:00-17:00	0
3	Mo-Sa 12:00-21:00	0
3	10:00-17:00	1
3	Su-Th 09:00-00:00; Fr-Sa 09:00-01:00	0
3	Mo-Sa 07:00-24:00; Su 08:00-24:00	0
3	Mo-Th 07:00-01:00; Fr-Sa 07:00-02:00; Su 07:00-01:00	0
3	Mo-Fr 12:00-22:00; Sa-Su 13:00-22:00	0
3	11:00 -10:00 	4
3	11:30-21:30	1
3	17:00-00:00	1
3	Mo-Fr 11:00-18:00; Sa 11:00-16:00	0
3	Mo-Fr 07:00-19:00;Sa-Su 00:00-00:00	0
3	Mo-Su 11:00-05:00	0
3	Mo-We 09:00-20:00; Th 09:00-22:00; Fr-Sa 09:00-20:00; Su 00:00-00:00	0
3	Mo-Su 08:00-23:00; Fr 08:00-12:00,14:30-23:00	0
3	Mo-Su 18:00-00:00	0
3	Tu-Su 17:00-22:00	0
3	Mo-Fr 08:30-20:00; Sa,Su 08:00-15:00; PH 00:00-00:00	0
3	Mo-Fr 07:00-22:00; Sa 08:00-21:00; Su 09:00-21:00	0
3	05:00-24:00	1
3	Mo-Su 05:00-24:00	0
3	Su-Th 17:00-23:30; Fr,Sa 17:00-00:00	0
3	Mo-Fr 00:00-01:00,08:00-24:00; Sa,Su 00:00-03:00,08:00-24:00	0
3	Mo-Sa 06:00-22:00; Su 07:00-22:00	0
2	Tu-Su 17:00-05:00	0
2	Mo-Su 00:00-03:00,11:00-24:00	0
2	08:30-20:00	1
2	Mo-Sa 11:00-21:00;Su,PH 00:00-00:00	0
2	Mo-Su 07:30-20:00	0
2	Mo-Th 09:00-23:00; Fr-Sa 09:00-01:00; Su 10:00-23:00	0
2	Mo-Su 09:00-19:00	0
2	Mo-Fr 11:00-22:00; Sa 12:00-22:00; Su 17:00-22:00	0
2	Mo-Sa 08:00-18:00	0
2	Su-Sa 00:00-24:00	0
2	Mo-Sa 11:30-22:00;Su, PH 13:00-22:00	0
2	D-M de 11 a  10J-S de 11 a  4	4
2	De Domingo a Jueves de 11:00 a:m: a 10:00 p:m: Viernes y SÃƒÂ¡bado de 11:00 a:m a 11:00 p:m:	4
2	Mo-Fr 11:30-20:00	0
2	Su-Th 07:00-24:00;Fr-Sa 07:00-02:00	0
2	Mo-Fr 00:00-01:00,07:00-24:00; Sa,Su 00:00-02:00,07:00-24:00	0
2	Mo-Fr 10:00-22:00; Sa 11:00-22:00; Su 12:00-21:00	0
2	Mo-Sa 09:00-21:00; Su 11:00-21:00	0
2	Mo-Sa 9:30-20:00	2
2	Mo-Su 00:00-01:00,09:00-24:00	0
2	Mo-Sa 11:00-22:00; Su 14:00-22:00	0
2	Mo-Sa 12:00-23:30; Su 14:00-23:30	0
2	Mo-Sa 11:00-22:30; Su 12:00-22:00	0
2	Mo-Fr 11:00-19:00;Sa 11:00-15:00	0
2	Su-Th 11:00-22:00; Fr-Sa 11:00-22:30	0
2	Mo 00:00-00:00; Tu-Sa 11:00-14:00,17:00-22:00; Su 17:00-22:00	0
2	Mo-Sa 11:00-22:00;Su 13:00-21:00	0
2	Mo-Sa 11:30-23:00; Su 13:00-23:00	0
2	11:30-24:00	1
